020530-2-NPY,2.017003e+04,5.732895e+02,321,5.570986e-01,19,1.069814e+00,3.103081e+01,2.469821e+02,8.500768e+00,6.759136e-01,4.781132e+00,3.698298e+01,-8.986725e+00,-1.908646e+01,1,12,27,26,51,61,65,82,72,74,59,51,68,58,57,46,53,46,44,42,39,38,27,22,21,24,14,14,12,11,11,6,6,4,5,3,4,2,2,2,2,1,1,1,1,1,1,1,1,0,
020531-3-NPY,1.818503e+04,5.945762e+02,290,4.944344e-01,19,1.213779e+00,3.097961e+01,2.160389e+02,9.896259e+00,4.680393e-01,3.700000e+00,4.421596e+00,-4.000701e+01,-3.728195e+00,1,12,45,72,83,88,103,93,109,109,83,81,59,49,59,50,37,30,35,27,31,19,23,23,17,11,10,12,8,7,6,6,6,6,7,5,5,3,2,2,2,2,2,2,2,1,1,1,1,0,
020619-1-NPY,1.866890e+04,5.800866e+02,351,5.020976e-01,18,1.230236e+00,2.625724e+01,2.379106e+02,8.672753e+00,5.296508e-01,4.692000e+00,2.411989e+00,-1.727027e+01,-3.688491e+00,1,13,42,70,89,85,82,69,62,67,70,64,55,55,64,73,61,51,46,33,16,14,12,10,12,5,4,4,4,4,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,
020621-1-NPY,2.655598e+04,9.768825e+02,430,4.438821e-01,28,1.262072e+00,3.073609e+01,3.062336e+02,1.290636e+01,6.554641e-01,3.324058e+00,3.837185e+01,-1.861659e+01,8.478082e+00,1,9,34,48,74,79,102,114,103,124,107,91,80,68,67,62,71,61,45,37,33,29,29,26,21,18,17,15,12,12,10,9,7,5,5,4,4,4,4,3,3,1,1,1,1,1,1,1,1,0,
020621-3-NPY,2.572751e+04,1.029145e+03,353,4.686492e-01,19,1.152905e+00,3.608347e+01,3.014278e+02,9.976190e+00,4.280016e-01,7.408516e-01,-6.265389e+00,-1.368027e+01,1.313560e+01,1,9,42,58,83,92,102,101,93,88,86,93,88,83,93,86,78,72,73,75,64,69,66,58,60,47,41,40,36,29,23,23,17,13,13,6,5,7,4,4,4,3,3,3,3,3,3,3,3,0,
020726-3-NPY,1.582535e+04,5.913230e+02,289,4.477023e-01,19,1.229098e+00,2.709821e+01,1.963938e+02,9.247863e+00,8.782883e-01,7.103546e+00,2.272471e+01,-1.645557e+01,6.260327e+00,1,8,26,43,74,82,127,110,98,108,106,95,85,69,51,37,35,24,25,22,23,15,17,18,20,15,14,14,11,10,6,4,4,4,3,4,5,5,3,2,2,3,3,3,3,3,1,1,1,0,
020801-1-ST,2.553869e+04,1.441291e+03,367,5.148277e-01,40,1.368993e+00,3.469930e+01,5.600025e+02,1.973134e+01,1.033925e+00,1.828617e+00,9.731619e+00,1.876316e+02,4.149143e+01,1,8,17,21,31,39,35,40,33,30,42,34,32,22,24,31,25,18,22,25,35,22,25,30,31,30,32,31,47,53,45,49,37,43,44,35,23,10,5,18,8,8,6,3,2,2,2,2,2,0,
020801-2-ST,1.675406e+04,9.156536e+02,250,6.612451e-01,28,1.415089e+00,3.324217e+01,3.902660e+02,1.165941e+01,5.792217e-01,1.848799e+00,3.306149e+01,1.882566e+02,1.625158e+01,1,9,28,28,34,31,36,33,36,27,31,27,22,15,10,12,7,6,9,6,5,10,12,7,5,7,3,3,6,7,7,7,7,8,11,20,19,17,17,17,24,27,22,29,23,24,15,9,2,0,
020801-3-ST,1.654298e+04,1.551174e+03,261,6.805223e-01,27,1.473117e+00,3.151044e+01,5.163767e+02,1.395627e+01,1.182142e+00,8.730728e+00,2.980901e+01,3.041503e+02,1.185826e+01,1,9,29,24,48,51,28,21,14,13,13,8,5,5,6,6,5,6,7,5,3,3,3,3,4,4,5,6,9,8,10,14,28,34,25,19,33,16,12,5,4,1,1,1,1,1,1,1,1,0,
0209-02Lpy,1.074892e+04,7.472520e+02,65,8.678193e-01,24,1.178214e+00,8.021579e+01,2.589576e+02,9.984962e+00,5.282937e-01,1.714310e+01,1.092348e+01,9.486040e+01,2.304004e-01,1,4,6,10,14,17,21,25,31,32,34,40,35,34,34,33,34,31,25,25,23,12,11,10,10,9,8,9,9,8,7,7,6,6,7,7,5,4,2,2,2,2,2,2,1,1,1,1,1,0,
